dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,SGDClassifier,RandomSearch,16,0.8774875188668292,,,,,,,,0.002608060094552367,0.6099966577826209,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,17,0.869215139904795,,,,,,,,7.359075652019385e-06,0.3910606075732408,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,18,0.8671354348078486,,,,,,,,0.0020540519425388455,0.31171107608941095,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,19,0.8675345408104029,,,,,,,,1.0957420145894568e-05,0.5677003278199915,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,20,0.8243469174503657,,,,,,,,0.07045683638454502,0.7751328233611146,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,21,0.8601082665737838,,,,,,,,9.456951897345889e-05,0.9266588657937942,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,22,0.9097875304771856,,,,,,,,0.040679084943595456,0.0884925020519195,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,23,0.8608208522001626,,,,,,,,0.00040194932171246393,0.9611720243493491,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,24,0.8773017531638221,,,,,,,,8.777815504719653e-05,0.2713490317738959,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,25,0.8869557645419713,,,,,,,,0.0008585306974480479,0.965255307264138,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,26,0.819582317427145,,,,,,,,5.0654860639753525e-06,0.8021969807540397,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,27,0.8567340067340066,,,,,,,,1.1972422479639328e-06,0.4234014807063696,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,28,0.858194009056078,,,,,,,,9.853225172032555e-06,0.005522117123602399,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,29,0.8771000232207129,,,,,,,,9.867611000082876e-06,0.71134195274865,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,30,0.8992337164750956,,,,,,,,0.007183758655813992,0.07404465173409036,elasticnet
